employee_id,name,department,manager,location
E230,Employee 230,Support,Vivek Singh,Chennai
E231,Employee 231,Engineering,Vivek Singh,Ahmedabad
E232,Employee 232,Sales,Rahul Sharma,Ahmedabad
E233,Employee 233,Sales,Amit Patel,Delhi
E234,Employee 234,Support,Priya Shah,Ahmedabad
E235,Employee 235,Support,Amit Patel,Pune
E236,Employee 236,Sales,Amit Patel,Mumbai
E237,Employee 237,Engineering,Priya Shah,Ahmedabad
E238,Employee 238,Sales,Rahul Sharma,Ahmedabad
E239,Employee 239,Engineering,Neha Gupta,Ahmedabad
E240,Employee 240,Sales,Rahul Sharma,Bengaluru
E241,Employee 241,Support,Neha Gupta,Bengaluru
E242,Employee 242,Sales,Neha Gupta,Bengaluru
E243,Employee 243,HR,Rahul Sharma,Ahmedabad
E244,Employee 244,HR,Neha Gupta,Pune
E245,Employee 245,HR,Amit Patel,Hyderabad
E246,Employee 246,Engineering,Amit Patel,Chennai
E247,Employee 247,Finance,Vivek Singh,Hyderabad
E248,Employee 248,Engineering,Amit Patel,Delhi
E249,Employee 249,Support,Vivek Singh,Chennai
E250,Employee 250,Support,Vivek Singh,Ahmedabad
E251,Employee 251,Support,Neha Gupta,Hyderabad
E252,Employee 252,Support,Priya Shah,Pune
E253,Employee 253,Finance,Rahul Sharma,Mumbai
E254,Employee 254,HR,Amit Patel,Pune
E255,Employee 255,HR,Vivek Singh,Pune
E256,Employee 256,Engineering,Neha Gupta,Delhi
E257,Employee 257,Support,Amit Patel,Ahmedabad
E258,Employee 258,Finance,Amit Patel,Ahmedabad
E259,Employee 259,Finance,Neha Gupta,Delhi
E260,Employee 260,Engineering,Rahul Sharma,Ahmedabad
E261,Employee 261,Sales,Rahul Sharma,Hyderabad
E262,Employee 262,Support,Neha Gupta,Pune
E263,Employee 263,Support,Vivek Singh,Pune
E264,Employee 264,Engineering,Priya Shah,Chennai
E265,Employee 265,Engineering,Amit Patel,Ahmedabad
E266,Employee 266,Sales,Priya Shah,Chennai
E267,Employee 267,HR,Vivek Singh,Pune
E268,Employee 268,Support,Rahul Sharma,Delhi
E269,Employee 269,Support,Priya Shah,Bengaluru
E270,Employee 270,Finance,Priya Shah,Hyderabad
E271,Employee 271,Support,Rahul Sharma,Pune
E272,Employee 272,HR,Rahul Sharma,Mumbai
E273,Employee 273,Support,Amit Patel,Bengaluru
E274,Employee 274,Support,Priya Shah,Mumbai
E275,Employee 275,Sales,Priya Shah,Bengaluru
E276,Employee 276,HR,Neha Gupta,Chennai
E277,Employee 277,Engineering,Priya Shah,Mumbai
E278,Employee 278,Support,Rahul Sharma,Hyderabad
E279,Employee 279,Support,Amit Patel,Pune
E280,Employee 280,Engineering,Rahul Sharma,Delhi
E281,Employee 281,Finance,Vivek Singh,Delhi
E282,Employee 282,Finance,Vivek Singh,Hyderabad
E283,Employee 283,HR,Vivek Singh,Ahmedabad
E284,Employee 284,Finance,Rahul Sharma,Bengaluru
E285,Employee 285,Sales,Neha Gupta,Bengaluru
E286,Employee 286,Finance,Priya Shah,Hyderabad
E287,Employee 287,Sales,Amit Patel,Ahmedabad
E288,Employee 288,Sales,Priya Shah,Bengaluru
E289,Employee 289,Finance,Vivek Singh,Pune
E290,Employee 290,Support,Priya Shah,Chennai
E291,Employee 291,Support,Neha Gupta,Ahmedabad
E292,Employee 292,HR,Neha Gupta,Ahmedabad
E293,Employee 293,HR,Priya Shah,Bengaluru
E294,Employee 294,Support,Priya Shah,Delhi
E295,Employee 295,Engineering,Priya Shah,Pune
E296,Employee 296,HR,Priya Shah,Mumbai
E297,Employee 297,Engineering,Rahul Sharma,Mumbai
E298,Employee 298,Sales,Vivek Singh,Ahmedabad
E299,Employee 299,Engineering,Amit Patel,Pune
E300,Employee 300,Sales,Neha Gupta,Chennai
